do,do
eol,
eoi,
indent,
dedent,
import,import
public,public
private,private
macro,macro
help,help
doc,doc
pre,pre
post,post
meta,meta
verbatim,verbatim
note,note
not,not
and,and
or,or
is,is
xor,xor
var,var
data,data
object,object
const,const
alias,alias
type,type
fn,fn
def,def
in,in
for,for
while,while
repeat,repeat
until,until
break,break
continue,continue
return,return
yield,yield
goto,goto
throw,throw
catch,catch
if,if
then,then
else,else
elif,elif
case,case
plus_equal,+=
minus_equal,-=
star_equal,*=
slash_equal,/=
hat_equal,^=
percentage_equal,%=
leq,<=
geq,>=
equal,==
not_equal,!=
thick_arrow,=>
left_left,<<
right_right,>>
thin_arrow,->
question_mark,?
bar,|
tilde,~
ampersand,&
bang,!
dollar,$
colon,:
semicolon,;
comma,,
dot,.
hash,#
atsign,@
backtick,`
backslash,\\
lt,<
gt,>
oparen,(
cparen,)
obracket,[
cbracket,]
obraces,{
cbraces,}
assign,=
plus,+
minus,-
star,*
star_star,**
slash,/
hat,^
percentage,%
colon_star,:*
colon_slash,:/
colon_percentage,:%
true,true
false,false
null_lit,null
line_end,,
where,where
with,with
